ticker	2020-08-01	2020-05-01	2020-02-01	2019-11-01	2019-08-01
BNAUF	1.47	-	0.89	-	-
MGWFF	0.054	0.04	0.072	0.045	0.075
XGN	12.45	15.6	20.65	15.06	-
CYD	13.22	11.66	12.19	13.07	12.87
VKIN	0.14	0.11	0.24	0.17	0.19
LSYN	2.97	2.85	3.22	2.79	3.1
PCB	9.2	9.28	14.95	16.37	16.18
TNYBF	0.3496	0.2394	0.3593	0.366	0.495
CAAS	2.73	1.8	2.67	1.99	2.24
ENGMF	1.155	1.15	1.44	1.4952	-
PCRCF	0.0946	0.1235	0.1437	0.1308	0.1
PMBC	3.71	4.01	6.93	7.16	7.72
WINA	158.98	149.95	198.66	179.47	168.26
SCX	3.21	3.17	5.63	5.36	5.85
WKULF	0.0671	0.0921	0.1712	0.417	0.54
PRIEF	0.0109	0.0046	0.028	0.0313	0.0155
AMNB	21.96	26.47	33.46	35.27	35.75
MFNC	9.1	10.18	14.71	15.09	14.73
AVNW	20.5	9.48	13.7	13.64	12.82
MDNAF	3.722	2.336	2.49	0.98	0.86
AYRSF	9.1	6.18	9.6	9.75	10.7
DMS	6.78	-	10.42	-	-
HURC	27.74	32.53	31.01	34.36	33.64
FNWB	10.25	11.59	15.67	17.39	15.88
CNNEF	2.62	2.4747	3.0611	3.526	3.6413
KTCC	6.77	4.63	5.81	5.99	4.93
GLXZ	1.27	0.86	1.89	2.1	1.56
REXN	2.66	1.9	2.05	1.68	5.12
UBFO	6.26	6.56	9.42	9.73	10.15
MSVB	12.55	11.88	13.41	13.19	12.67
VSEC	28.13	19.16	30.87	37.94	29.58
SPIN	0.05	0.03	0.01	0.02	0.03
NSUPF	0.44	0.25	0.12	0.09	0.1
EPWCF	0.0485	0.05	0.0243	0.039	0.0634
BLAGF	0.46	0.95	0.905	-	-
GASS	2.41	2.73	3.01	3.28	3.64
AQARF	0.13	0.09	0.12	0.14	0.14
SWKH	12.62	11.7	13.73	12.98	10.33
UTMD	81.5	82.76	91.51	101.57	89.94
HBCP	23.38	25.15	35.0	37.35	36.35
UTSI	1.59	1.93	2.74	3.0	2.98
GARS	3.31	1.9102	5.5516	5.7503	5.8823
TPHS	1.33	1.48	3.3	3.98	4.2
CCB	13.37	13.13	17.8	15.05	15.89
EBMT	15.45	17.3	20.8	18.73	17.4
IHC	33.06	27.45	40.18	38.62	37.43
GSL	4.37	4.83	7.31	7.4	7.374
CCAC	9.88	9.75	-	-	-
ISTR	13.33	12.5	21.91	24.53	23.78
NWGI	2.69	4.035	3.8	-	-
GVP	0.94	1.05	1.46	1.34	2.31
ETST	0.03	0.031	0.112	0.32	0.691
MIMZF	1.36	1.11	-	1.55	2.0
ATBHF	0.0586	0.0468	0.0554	0.048	0.0467
MYMX	0.046	0.033	0.033	0.04	0.045
TGCDF	11.66	6.92	5.66	4.08	3.9
GRNQ	0.875	0.37	0.45	0.723	1.115
USLM	90.21	79.94	89.4	83.46	76.15
AUIAF	2.9461	1.85	2.41	1.925	2.0122
CHPGF	3.95	2.12	2.29	2.51	1.9
DCNNF	0.1051	0.0645	0.1495	0.0624	0.13
MPB	19.22	19.42	23.56	24.85	25.2
NM	1.91	2.37	2.94	5.15	5.67
GBLI	22.85	24.32	30.86	24.03	27.19
DHIL	114.03	109.56	140.77	132.16	132.25
FNGR	4.0	0.215	0.8	2.25	3.35
RIGMF	0.1509	0.14	0.1801	0.186	0.1907
TIKK	4.1	3.1	3.85	3.35	2.45
GRYN	0.873	0.39	1.87	2.07	1.45
FUNC	10.81	15.18	23.42	22.79	20.62
WINR	0.82	0.76	1.01	2.0	2.05
KBSF	2.43	1.68	2.03	2.01	2.58
UFAB	2.94	3.25	4.051	2.34	2.57
REX	68.15	59.48	75.35	80.92	74.6
PUBC	0.1	0.109	0.24	0.45	0.091
PFIS	35.91	36.64	45.54	47.98	46.84
BUROF	1.68	1.01	1.42	0.75	1.0
TSQ	4.44	4.9	9.493	6.6285	5.2056
VSQTF	0.1146	0.0674	0.0536	0.1033	0.1922
GFN	5.88	5.83	9.67	9.78	8.08
IFNNF	25.03	18.14	22.26	19.37	18.53
RMCF	3.32	4.55	8.2009	8.7482	8.6356
ALAC	10.72	10.7	10.42	10.28	10.14
ICNAF	0.16	0.1144	0.1425	0.215	0.3353
PLUUF	0.19	0.17	0.18	0.15	0.37
RGCO	23.2	24.68	24.97	28.59	28.04
HWCC	2.51	2.3	3.98	4.25	4.65
SAMG	11.0	10.06	11.54	11.54	13.6
AZASF	0.114	0.1267	0.14	0.1456	0.11
FFHL	5.08	2.32	2.78	2.94	2.1
TRNS	27.9	28.09	30.6	31.34	23.82
BBRRF	0.0402	0.0401	0.119	0.104	0.199
PKTX	0.09	0.098	0.18	0.091	0.21
KBLM	10.96	10.76	10.72	10.59	10.52
TECR	0.19	0.202	0.453	0.061	0.135
BKTI	3.13	2.8034	2.7997	3.4843	3.7851
PBIO	1.99	3.61	2.5	2.2	2.75
DYFSF	0.43	0.45	0.66	0.38	0.36
AMTY	0.02	0.02	0.02	0.02	0.03
TSSI	0.92	1.15	1.37	0.79	0.73
GTBAF	12.61	-	-	-	-
CDBMF	0.07	0.045	0.095	0.04	0.072
BASI	5.37	4.7	4.86	4.88	2.02
LMB	3.72	3.044	4.0	4.5	8.88
SMMF	15.04	17.46	24.04	24.8	25.77
CPAH	4.63	2.9	2.13	1.15	1.51
PETZ	1.3	0.91	1.252	1.41	1.31
FCBP	15.13	14.95	23.66	21.5	21.15
CTG	4.83	4.14	5.96	5.39	4.4
MNSB	12.93	15.02	22.0	20.74	22.82
MMAC	24.78	25.51	30.68	31.83	32.08
GZDIF	0.06	0.03	0.03	0.04	0.04
FMAO	21.49	23.82	28.99	25.11	27.93
PACQ	10.65	10.48	10.42	10.28	10.17
SRTS	2.91	2.42	4.11	5.7	4.99
STRM	1.24	0.97	1.1	1.25	1.35
WEYS	18.42	18.8	22.06	23.8	26.29
MNTX	4.51	4.0	5.74	5.56	6.5
WLFC	19.5	20.01	59.3	54.51	62.25
MGROF	0.26	0.2382	0.4564	-	-
GTHP	0.39	0.17	0.215	0.1945	0.2418
ESEA	2.7	2.35	3.07	5.6	4.72
CODA	5.77	6.1	6.29	7.34	11.84
GIK	9.96	-	-	-	-
JRSH	4.41	4.6093	6.252	6.6279	6.6733
NTSFF	0.24	0.19	0.31	0.35	0.35
NVR	3930.15	3100.0	3816.97	3636.59	3344.14
ADMT	0.14	0.17	0.19	0.19	0.17
EVI	25.28	18.27	26.76	34.39	35.12
PCLOF	0.445	0.758	2.188	2.153	3.243
AWX	1.74	1.38	1.85	2.29	2.62
PKSLF	0.04	0.04	0.05	0.03	0.04
SLSDF	0.02	0.01	0.02	0.01	0.04
TGEN	0.81	1.02	2.115	2.67	3.24
SPAQ.U	-	-	-	-	-
GBIO	19.64	-	-	-	-
GIFI	2.96	3.02	5.1	5.24	7.16
RNGR	2.65	4.21	7.0	5.5	6.7
TCFC	22.52	23.08	33.62	32.82	31.92
ESSA	12.6	11.91	16.66	15.97	14.9
AC	40.44	37.97	41.44	40.18	36.98
CLRMF	0.2301	-	-	-	-
XEBEF	3.32	2.6	2.26	1.32	1.28
UNTY	12.51	14.28	21.7	21.54	20.35
RLGMF	0.13	0.04	0.06	0.04	0.06
INOD	1.33	1.05	1.14	1.25	1.25
FVCB	9.86	11.51	15.95	17.22	18.02
PHGE	5.25	5.97	9.9	9.57	10.5
CWGL	5.65	5.9	7.25	7.1	7.4
CHMJF	0.07	0.03	0.09	0.127	0.2
RFL	13.97	14.11	20.24	17.37	20.7
EML	16.31	17.88	27.39	27.17	24.76
ALRT	0.05	0.0391	0.0234	0.03	0.044
CGMLF	0.77	0.74	0.18	0.14	0.13
TWMC	7.99	4.53	3.46	2.94	6.0
JVA	2.81	2.84	4.06	3.78	4.04
MEEC	0.17	0.16	0.2	0.29	0.38
LGL	8.73	9.86	13.9	-	-
ATRI	620.1	630.33	715.68	837.47	762.55
TSBK	16.66	19.11	27.61	25.76	26.7
DTSS	1.94	2.14	2.667	2.57	1.32
CNBKA	69.64	74.54	85.7	86.58	83.23
ACNNF	0.099	0.1147	0.192	0.18	0.3279
VBFC	29.0	28.2	40.01	35.23	33.82
SPLP	4.87	5.25	11.7	12.28	13.95
GEF.B	-	-	-	-	-
NORZF	0.07	0.04	0.06	0.07	0.07
CJCFF	0.21	0.17	0.28	0.17	0.22
NMTC	1.8	2.2	2.48	2.0	3.7
MVC	6.46	6.5	9.09	8.18	8.76
IMRA	20.19	-	-	-	-
SYNE	0.34	3.21	6.35	-	-
NC	21.84	34.91	46.61	49.73	52.14
ORSN	10.15	-	-	-	-
CCAP	11.7	9.57	-	-	-
BRFH	0.36	-	-	-	-
SMLR	55.5	45.45	47.5	47.0	52.07
COFS	28.5	28.64	30.25	28.92	28.14
VBIX	0.034	-	-	-	-
PCPL.U	-	-	-	-	-
IEA	3.45	2.09	3.53	2.54	2.56
AMRK	24.09	14.79	7.96	11.08	12.68
SPFI	13.36	12.43	21.75	16.75	17.45
CBAN	-	-	-	-	-
DSWL	2.41	2.1883	2.6896	2.4103	2.5131
NES	2.15	1.376	2.744	3.341	3.85
EBTC	21.5	23.95	30.59	29.25	29.8
RRIF	0.9	1.93	2.25	7.0	4.25
EDVMF	26.93	-	-	-	-
FNCB	5.59	6.14	7.71	7.26	7.71
PPIH	5.91	5.7	9.03	8.98	8.85
ZDGE	1.39	1.12	1.7	1.76	1.61
YNVYF	0.1891	0.2358	0.21	0.177	0.31
IMBI	-	-	-	-	-
FNLC	20.14	21.59	27.51	27.22	24.96
CWSFF	0.0322	0.0266	0.0761	0.082	0.095
VNNYF	0.0223	0.0223	0.03	0.0395	0.113
AHNR	0.09	0.04	0.02	0.04	0.06
NBAC	9.94	-	-	-	-
CHAQ	10.05	-	-	-	-
SCVX	10.15	9.75	-	-	-
LCUT	7.05	5.7	6.77	7.99	8.83
MTLFF	0.335	0.1519	0.2264	0.32	0.59
IKNX	3.55	3.6	5.36	6.12	7.15
WTT	-	-	-	-	-
PDPTF	1.445	0.75	1.038	0.536	0.624
NKOSF	-	-	-	-	-
IMLFF	3.91	4.983	8.91	6.006	6.93
HMMR	0.2	0.24	0.26	0.389	0.57
LMST	10.58	-	-	-	-
RCMT	1.54	1.41	2.77	3.01	3.3
ESSC	9.91	9.73	-	-	-
GTIM	1.13	0.82	1.45	1.78	1.84
CLOK	-	-	-	-	-
EQMEF	0.0822	-	-	-	-
CEL	-	-	-	-	-
DTST	0.13	0.14	0.13	0.17	0.16
GLVMD	5.58	-	0.42	-	-
GPHBF	-	-	-	-	-
MCB	29.58	25.09	49.15	42.94	41.97
LONCF	0.4438	-	-	-	-
ZIVO	0.108	-	-	-	-
CGA	2.73	2.64	3.08	3.72	4.24
BGAVF	0.1391	0.062	0.073	0.0571	0.1
UNIB	8.1	-	-	-	-
FFBW	8.5	8.46	10.7	9.22	8.54
SMDM	0.27	0.14	0.21	0.27	0.3
AMHC	10.1	9.7	9.87	-	-
VHI	10.17	31309740.0	59060268.0	67242432.0	76491656.0
CGIX	2.96	3.16	4.2	3.11	4.2
NHTC	5.28	4.01	3.33	5.92	6.56
NATR	-	-	-	-	-
ZMTP	2.0	1.3	1.17	0.8	0.87
RRBI	40.04	38.23	52.79	43.87	46.98
ARREF	0.38	0.2	0.38	0.58	0.54
SVVC	4.88	3.47	6.58	6.87	8.92
